latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
42.8930489,-78.87531849999999,ColoCrossing · BUF1,ColoCrossing,"325 Delaware Avenue, Buffalo, NY, USA",2,,13000.0,1941.0,datacenterhawk; datacenters.com,1.0,1.0,NY,Individual,-0.054756421595811844,9.472781556562168,False,False,True,-0.05328428062462032
42.9686222,-83.7795762,Otava · Mid-Michigan,Otava,"5225 Exchange Drive, Flint, MI, USA",1,,32500.0,1987.0,datacenterhawk,1.0,1.0,MI,Individual,1.0415537357330322,10.389026137075234,False,False,True,1.8336162866915555
42.994734,-89.4233285,OneNeck IT Solutions · 5515 Nobel Drive,OneNeck IT Solutions,"5515 Nobel Drive, Fitchburg, WI, USA",1,,60000.0,2008.0,datacenterhawk,1.0,1.0,WI,Individual,1.2575708627700806,11.002116507732017,False,False,True,2.5168681476031893
43.00931240000001,-87.961308,TierPoint · MKE,Tierpoint,"3701 W Burnham Street, Ste A, Milwaukee, WI, USA",1,,26000.0,2001.0,datacenterhawk,1.0,1.0,Milwaukee,Individual,1.0305105447769165,10.165890277802454,False,False,True,1.8024962693501831
43.0390402,-87.90704629999999,1547 Realty · Wells Building,1547 Realty,"324 East Wisconsin Avenue, Milwaukee, WI, USA",2,,117166.0,1901.0,datacenterhawk; datacenters.com,1.0,1.0,WI,Individual,1.2016212940216064,11.671355546510913,False,False,True,2.3255041744338247
43.0439327,-87.9539734,Data Holdings · 3135 W Highland Boulevard,Data Holdings,"3135 W Highland Boulevard, Milwaukee, WI, USA",1,8.0,46000.0,2013.0,datacenterhawk; datacenters.com,1.0,1.0,WI,Individual,2.1972245773362196,10.736418414365376,False,False,True,8.000000000000002
43.04891019999999,-89.2974383,EdgeConneX · MAD01,EdgeConneX,"4916 East Broadway, Madison, WI, USA",2,,,1999.0,datacenterhawk,0.28125,0.2564102564102564,WI,Ambiguous/Flagged,,,False,False,False,
43.073331,-89.3870026,US Signal · Madison,US Signal,"222 W Washington Ave, Madison, WI, USA",2,0.0,190000.0,1972.0,datacenterhawk; datacenters.com,1.0,1.0,WI,Individual,0.0,12.154784614286667,False,False,True,0.0
43.0949601,-76.1741845,NaviSite · 125 Elwood Davis Road,NaviSite,"125 Elwood Davis Road, Syracuse, NY, USA",1,,21218.0,1972.0,datacenterhawk,1.0,1.0,NY,Individual,0.8709649443626404,9.962652285704099,False,False,True,1.3892152013014072
43.1671351,-77.6730314,"CentriLogic · , United States Head Office",CentriLogic,"28 Mansfield Street, Rochester, NY, USA",1,,22000.0,1986.0,datacenterhawk,1.0,1.0,NY,Individual,1.0177795886993408,9.99884318585288,False,False,True,1.7670439621534575
43.16755269999999,-78.7517314,H5 Data Centers · Buffalo I,H5 Data Centers,"5319 Enterprise Drive, Lockport, NY, USA",2,0.0,0.0,2013.0,datacenterhawk; datacenters.com,1.0,1.0,NY,Individual,0.0,0.0,False,False,True,0.0
43.1697406,-78.7478555,H5 Data Centers · Buffalo II,H5 Data Centers,"5365 Crown Drive, Lockport, NY, USA",1,,,2013.0,datacenterhawk,1.0,1.0,NY,Individual,,,False,False,True,
43.26887259999999,-77.0153911,TeraWulf · CB-1,National Grid,"7725 Lake Road, Barker, NY, USA",1,,61800.0,2025.0,datacenterhawk,1.0,1.0,NY,Individual,2.232426166534424,11.031674824544641,False,False,True,8.322456496315777
43.3505534,-78.6146006,TeraWulf · CB-1,National Grid,"7725 Lake RoadBarker, Barker, NY, USA",3,0.0,321800.0,2025.0,datacenterhawk,0.9555555555555556,1.0,NY,Campus,0.0,12.681688621055791,False,True,False,0.0
43.4273216,-80.3726843,Ascent Data Centers · TOR1,Ascent,"17 Vondrau Drive, Cambridge, ON, Canada",3,,,2001.0,datacenterhawk,0.6260162601626016,0.4285714285714285,ON,Ambiguous/Flagged,,,False,False,False,
43.4966352,-96.7856688,Midco Business · 5401 S Solberg Avenue,Midco Business,"5401 S Solberg Avenue, Sioux Falls, SD, USA",1,1.0,9000.0,2015.0,datacenterhawk; datacenters.com,1.0,1.0,SD,Individual,0.6931471805599453,9.105090961257085,False,False,True,1.0
43.5798937,-116.2907645,ark data centers · Boise II,Involta,"2653 South Victory View Way, Boise, ID, USA",1,,34000.0,2015.0,datacenterhawk; datacenters.com,1.0,1.0,ID,Individual,1.3635528087615967,10.434145214930487,False,False,True,2.910060350394246
43.59160139999999,-116.298067,ark data centers · Boise I,ark data centers,"1450 S. Eagle Flight Way, Suite 200, Boise, ID, USA",1,,43780.0,1999.0,datacenterhawk,1.0,1.0,Boise,Individual,0.654225766658783,10.68695521229612,False,False,True,0.9236525847050172
43.5945453,-79.75317129999999,Centersquare · YYZ1-A,Enersource,"6800 Millcreek Drive, Mississauga, ON, Canada",2,,,1986.0,datacenterhawk,0.2413793103448276,0.0833333333333333,ON,Ambiguous/Flagged,,,False,False,False,
