latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
29.468672712740684,-98.69897443448168,Microsoft San Antonio (SAT15),Microsoft,"3555 Westover Link, San Antonio, TX, 78251, USA",Individual,1,,245000.0,2024.0,datacentermap,1.0,1.0
29.4709312,-98.6729514,CyrusOne · SAT2,CyrusOne,"9554 Westover Hills Boulevard, San Antonio, TX, USA",Individual,1,36.0,372000.0,2014.0,datacenterhawk; datacenters.com,1.0,1.0
29.4717406,-98.6715761,Stream Data Centers · San Antonio II,Stream Data Centers,"9550 Westover Hills Blvd, San Antonio, TX, USA",Individual,1,10.0,75840.0,1998.0,datacenterhawk; datacenters.com,1.0,1.0
29.473598,-98.6698383,CyrusOne · SAT3,CyrusOne,"9500 Westover Hills Boulevard, San Antonio, TX, USA",Individual,1,,184202.0,2015.0,datacenterhawk,1.0,1.0
29.47560860565499,-98.39147203550922,Lumen San Antonio 1,Lumen,"5130 Service Center Drive, San Antonio, TX, 78218, USA",Individual,1,,31725.0,,datacentermap,1.0,1.0
29.4756749,-98.3908008,Lumen: San Antonio 1 Data Center,Lumen,"5130 Service Center Drive, San Antonio, TX, USA",Individual,1,,6200.0,,datacenters.com,1.0,1.0
29.4769416977316,-98.69425721398817,Microsoft Azure: Wiseman Boulevard,Microsoft Azure,"3545 Wiseman Blvd, San Antonio, TX, 78251, USA",Individual,1,,350000.0,,datacentermap; datacenters.com,1.0,1.0
29.478,-98.698144,Vantage Data Centers · TX21,Vantage Data Centers,"3800 Wiseman Boulevard, San Antonio, TX, USA",Individual,1,,360000.0,,datacenterhawk,1.0,1.0
29.4798727,-98.692754476773,Microsoft San Antonio Chevron,Microsoft,"5150 Rogers Rd, San Antonio, TX, 78251, USA",Individual,1,,,,datacentermap,1.0,1.0
29.4799187,-98.6925955,Microsoft Azure: South Central US-Texas,Microsoft Azure,"5150 Rogers Rd, San Antonio, TX, USA",Individual,1,,,,datacenters.com,1.0,1.0
29.48105375,-98.69662770704156,Microsoft Azure: San Antonio (SN7) - Texas,Microsoft Azure,"5200 Rogers Rd, San Antonio, TX, 78251, USA",Individual,1,,202000.0,,datacentermap; datacenters.com,1.0,1.0
29.502932,-98.55688399374372,SATC Data Center,SATC Co-Location Services,"3463 Magic Drive, San Antonio, TX, 78229, USA",Individual,1,10.0,,2005.0,datacentermap,1.0,1.0
