unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
china-telecom-cyxtera-sc4-sc5-sc9,datacenters.com,"China Telecom: Cyxtera SC4, SC5, SC9 Data Center",China Telecom,4650 Old Ironsides Dr,Santa Clara,95054,CA,USA,,,,,,,https://www.datacenters.com/china-telecom-cyxtera-sc4-sc5-sc9,,
edgeconnex-por02-portland,datacenters.com,EdgeConnex: POR02 Portland Data Center,EdgeConnex,6297 NE Evergreen Pkwy building a,Hillsboro,97124,OR,USA,16850 sqft total space,16850 sqft,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-por02-portland,3.0,16850.0
amazon-aws-iad56-sterling,datacenters.com,Amazon AWS: IAD56 Sterling,Amazon AWS,45210 Prologis Plaza,Sterling,,VA,USA,78300 sqft total space,78300 sqft,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-iad56-sterling,,78300.0
amazon-aws-pdx69,datacenters.com,Amazon AWS: PDX69,Amazon AWS,Bonney Ln,Umatilla,,OR,USA,,,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-pdx69,,
expedient-pittsburgh-green-tree,datacenters.com,Expedient: Pittsburgh - Green Tree Data Center,Expedient,810 Parish Street,Pittsburgh,,PA,USA,26000 sqft total space,12000 sqft colocation space,,1.0 MW total power,,"EU-US, HIPAA, HITECH, HITRUST CSF, PCI DSS, Privacy Shield, SOC 1 Type 2, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/expedient-pittsburgh-green-tree,1.0,26000.0
24shells-inc-lax1,datacenters.com,24Shells Inc: LAX1 Data Center,24Shells Inc,"One Wilshire Building, South Grand Avenue",Los Angeles,,CA,USA,,,,,,,https://www.datacenters.com/24shells-inc-lax1,,
nyi-new-york-broad-street-connect,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/nyi-new-york-broad-street-connect,,
365-bu1-buffalo,datacenters.com,365 Data Centers: BU1 Buffalo Data Center,365 Data Centers,350 Main Street,Buffalo,,NY,USA,,19000 sqft,,1.0 MW,,"HIPAA, ISAE-3402, PCI DSS, SOC 2, SSAE 18",https://www.datacenters.com/365-bu1-buffalo,1.0,19000.0
cyrusone-sat5-san-antonio,datacenters.com,CyrusOne: SAT5 San Antonio Data Center,CyrusOne,14719 Omicron Drive,San Antonio,,TX,USA,175000 sqft total space,50000 sqft colocation space,,18.0 MW total power,Enterprise,"FISMA, HIPAA, HITECH, HITRUST CSF, ISO 22301, ISO 27001, PCI DSS, SOC 1, SOC 2",https://www.datacenters.com/cyrusone-sat5-san-antonio,18.0,175000.0
involta-boise-2,datacenters.com,Involta: Boise 2 Data Center,Involta,1450 South Eagle Flight Way,Boise,,ID,USA,,6000 sqft,,,,"HIPAA, HITRUST CSF, LEED, NIST 800-53, PCI DSS, Privacy Shield",https://www.datacenters.com/involta-boise-2,,6000.0
