unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
cbre-central-ohio-powered-land,datacenters.com,CBRE: Central Ohio Powered Land,CBRE,500 N 4th St,Coshocton,43812,OH,USA,,,,50.0 MW,"Hyperscale, Enterprise","ISO 14001, ISO 27001, PCI DSS",https://www.datacenters.com/cbre-central-ohio-powered-land,50.0,,"500 N 4th St, Coshocton, OH, 43812, USA",40.277178241610734,-81.86494367785235
ibm-wdc04-ashburn-va,datacenters.com,"IBM Cloud: WDC04 Ashburn, VA",IBM Cloud,nan,Ashburn,,VA,USA,,,,,,,https://www.datacenters.com/ibm-wdc04-ashburn-va,,,"Ashburn, VA, None, USA",,
lumen-modesto-1,datacenters.com,Lumen: Modesto 1 Data Center,Lumen,1224 13th Street,Modesto,,CA,USA,3406 sqft total space,1124 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-modesto-1,,3406.0,"1224 13th Street, Modesto, CA, None, USA",,
mod-mission-critical-au2-drt-austin-pop,datacenters.com,MOD Mission Critical: AU2 - DRT Austin Data Center PoP,MOD Mission Critical,7500 Metro Center Dr,Austin,78744,TX,USA,,,,,,"HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 2, SOC 3",https://www.datacenters.com/mod-mission-critical-au2-drt-austin-pop,,,"7500 Metro Center Dr, Austin, TX, 78744, USA",30.2121195,-97.69589126682894
mod-mission-critical-ch1-ch1-chicago-pop,datacenters.com,Not Available,MOD Mission Critical,350 East Cermak Road,Chicago,,IL,USA,143630 sqft total space,50992 sqft colocation space,,6.0 MW total power,,"FISMA, HIPAA, ISO 22301, ISO 27001, ISO 50001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/mod-mission-critical-ch1-ch1-chicago-pop,6.0,143630.0,"350 East Cermak Road, Chicago, IL, None, USA",,
firstlight-bangor,datacenters.com,FirstLight: Bangor Data Center,FirstLight,60 Summer St,Bangor,,ME,USA,8000 sqft total space,8000 sqft,,125 kW,,"HIPAA, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/firstlight-bangor,0.125,8000.0,"60 Summer St, Bangor, ME, None, USA",,
flexential-salt-lake-city-lindon,datacenters.com,Flexential: Salt Lake City - Lindon Data Center,Flexential,333 South 520 West #150,Lindon,84042,UT,USA,9542 sqft total space,6336 sqft colocation space,,,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-salt-lake-city-lindon,,9542.0,"333 South 520 West #150, Lindon, UT, 84042, USA",,
flexential-charlotte-north,datacenters.com,Flexential: Charlotte - North Data Center,Flexential,10105 David Taylor Drive,Charlotte,,NC,USA,62589 sqft total space,10000 sqft colocation space,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/flexential-charlotte-north,3.0,62589.0,"10105 David Taylor Drive, Charlotte, NC, None, USA",,
amazon-aws-iad101-manassas,datacenters.com,Amazon AWS: IAD101 Manassas,Amazon AWS,10301 Tanner Way,Manassas,20110,VA,USA,214796 sqft total space,214796 sqft,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-iad101-manassas,,214796.0,"10301 Tanner Way, Manassas, VA, 20110, USA",38.738228935972735,-77.50330388474131
edgeconnex-svc01-santa-clara,datacenters.com,EdgeConnex: SVC01 Santa Clara Data Center,EdgeConnex,1700 Richard Avenue,Santa Clara,,CA,USA,19800 sqft total space,19800 sqft,,1.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-svc01-santa-clara,1.0,19800.0,"1700 Richard Avenue, Santa Clara, CA, None, USA",,
lumen-miami-4,datacenters.com,Lumen: Miami 4 Data Center,Lumen,1109 Northwest 22nd Street,Miami,,FL,USA,100000 sqft total space,10000 sqft colocation space,,,,"ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-miami-4,,100000.0,"1109 Northwest 22nd Street, Miami, FL, None, USA",,
lumen-houston-2,datacenters.com,Lumen: Houston 2 Data Center,Lumen,7060 Empire Central Drive,Houston,,TX,USA,12000 sqft total space,8130 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-houston-2,,12000.0,"7060 Empire Central Drive, Houston, TX, None, USA",,
lumen-san-antonio-1,datacenters.com,Lumen: San Antonio 1 Data Center,Lumen,5130 Service Center Drive,San Antonio,,TX,USA,6200 sqft total space,3000 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-san-antonio-1,,6200.0,"5130 Service Center Drive, San Antonio, TX, None, USA",,
aligned-energy-hillsboro-or-campus,datacenters.com,"Aligned Data Centers: Hillsboro, OR Campus",,NE 30th Ave & Northeast Evergreen Road,Hillsboro,,OR,USA,,,,72.0 MW,,,https://www.datacenters.com/aligned-energy-hillsboro-or-campus,,,"NE 30th Ave & Northeast Evergreen Road, Hillsboro, OR, None, USA",,
amazon-aws-iad77-manassas-copt-dc-6,datacenters.com,Amazon AWS: IAD77 Manassas (COPT DC-6),Amazon AWS,9651 Hornbaker Rd,Manassas,20109,VA,USA,,,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-iad77-manassas-copt-dc-6,,,"9651 Hornbaker Rd, Manassas, VA, 20109, USA",38.74728305,-77.53182644813808
h5-san-antonio,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/h5-san-antonio,,,None,44.933143,7.540121
